time,gFx,gFy,gFz,TgF,is_fall
38.5,-1.1354,-0.3203,-0.0547,1.18,0
38.6,-0.7845,-0.1804,-0.2925,0.86,0
38.7,-0.637,-0.1741,-0.3438,0.74,0
38.8,-0.7264,-0.1016,-0.3907,0.83,0
38.9,-1.098,-0.3658,-0.7117,1.36,0
39,-1.0746,-0.49,-0.1821,1.19,0
39.1,-1.181,-0.3438,-0.0005,1.23,0
39.2,-0.7542,-0.0762,-0.3733,0.85,0
39.3,-0.6256,-0.0686,-0.1126,0.64,0
39.4,-0.9481,-0.0188,-0.4236,1.04,0
39.5,-1.2296,0.1931,-0.2578,1.27,0
39.6,-1.1332,-0.2217,-0.2876,1.19,0
39.7,-1.0365,-0.3157,-0.0444,1.08,0
39.8,-0.6143,-0.3189,-0.2395,0.73,0
39.9,-0.7047,-0.1448,-0.2422,0.76,0
40,-0.7716,-0.178,-0.469,0.92,0
40.1,-1.1149,-0.4654,-0.7471,1.42,0
40.2,-0.9483,-0.6287,-0.1848,1.15,0
40.3,-1.2032,-0.5171,-0.1917,1.32,0
40.4,-0.7447,-0.0073,-0.2354,0.78,0
40.5,-0.6771,-0.1275,-0.1211,0.7,0
40.6,-0.9918,0.0005,-0.4808,1.1,0
40.7,-1.2858,0.1116,-0.8121,1.52,0
40.8,-0.9945,-0.0151,-0.1673,1.01,0
40.9,-1.2321,-0.2581,-0.1489,1.27,0
41,-0.6502,-0.2481,-0.2884,0.75,0
41.1,-0.6509,-0.2056,-0.3225,0.76,0
41.2,-0.8538,-0.1079,-0.4683,0.98,0
41.3,-1.1974,-0.1372,-1.2069,1.71,0
41.4,-0.9068,-0.4742,-0.1362,1.03,0
41.5,-1.0904,-0.4119,-0.1109,1.17,0
41.6,-0.6834,0.0632,-0.3396,0.77,0
41.7,-0.7503,-0.0613,-0.1348,0.76,0
41.8,-1.0414,-0.0439,-0.5855,1.2,0
41.9,-1.3099,0.0029,-0.6517,1.46,0
42,-0.858,-0.2503,-0.0747,0.9,0
42.1,-1.1136,-0.1277,-0.1321,1.13,0
42.2,-0.6006,-0.3201,-0.3037,0.75,0
42.3,-0.5867,-0.2393,-0.2959,0.7,0
42.4,-1.0922,-0.002,-0.5716,1.23,0
42.5,-1.202,-0.1819,-0.7078,1.41,0
42.6,-0.9337,-0.0879,-0.0562,0.94,0
42.7,-1.0599,-0.1663,-0.3704,1.14,0
42.8,-0.5965,0.0789,-0.0689,0.61,0
42.9,-0.8673,-0.0862,-0.3052,0.92,0
43,-1.1759,-0.0574,-0.4158,1.25,0
43.1,-1.3744,-0.1978,-0.4847,1.47,0
43.2,-0.8849,-0.4891,0.1262,1.02,0
43.3,-0.8729,-0.134,-0.1182,0.89,0
43.4,-0.6632,-0.1343,-0.3743,0.77,0
43.5,-0.7061,-0.1795,-0.2722,0.78,0
43.6,-1.2369,-0.6627,-0.9034,1.67,0
43.7,-0.951,-0.2517,-0.1502,1,0
43.8,-0.9535,-0.2442,-0.2285,1.01,0
43.9,-0.6502,0.0645,-0.1995,0.68,0
44,-0.776,-0.1087,-0.0952,0.79,0
44.1,-1.016,-0.1091,-0.6053,1.19,0
44.2,-1.4889,-0.0308,-0.4695,1.56,0
44.3,-0.8663,-0.5062,0.1792,1.02,0
44.4,-1.0956,-0.0723,-0.2464,1.13,0
44.5,-0.6319,-0.2725,-0.274,0.74,0
44.6,-0.5762,-0.2498,-0.2588,0.68,0
44.7,-1.0948,0.01,-0.5599,1.23,0
44.8,-1.2223,-0.2324,-0.5899,1.38,0
44.9,-1.0589,-0.2073,0.0288,1.08,0
45,-0.8802,-0.2495,-0.3648,0.98,0
45.1,-0.6116,-0.0325,-0.0657,0.62,0
45.2,-0.7364,-0.0689,-0.2566,0.78,0
45.3,-1.0113,0.0786,-0.2932,1.06,0
45.4,-1.3778,-0.0615,-0.2158,1.4,0
45.5,-1.0558,-0.3907,0.0366,1.13,0
45.6,-0.7398,-0.178,-0.2298,0.79,0
45.7,-0.6959,-0.2188,-0.3794,0.82,0
45.8,-0.7352,-0.168,-0.472,0.89,0
45.9,-1.2428,-0.252,-1.0611,1.65,0
46,-0.847,-0.3252,-0.0764,0.91,0
46.1,-1.0328,-0.3955,-0.2163,1.13,0
46.2,-0.7647,0.0305,-0.2183,0.8,0
46.3,-0.7921,-0.1082,-0.1541,0.81,0
46.4,-0.9962,-0.1074,-0.563,1.15,0
46.5,-1.3698,0.0012,-0.5748,1.49,0
46.6,-0.8509,-0.3687,0.0632,0.93,0
