time,x,y,z,TgF
32.8290,-0.2517,0.1944,0.9637,1.01
32.9290,-0.2439,0.1861,0.9310,0.98
33.0310,-0.2688,0.1714,0.9845,1.03
33.1320,-0.2686,0.1690,0.9381,0.99
33.2310,-0.2354,0.1367,1.0336,1.07
33.3320,-0.2412,0.1411,1.0287,1.07
33.4320,-0.2984,0.1541,0.9129,0.97
33.5320,-0.3482,0.1170,0.8946,0.97
33.6330,-0.3013,0.0923,0.9425,0.99
33.7330,-0.3807,0.1189,1.0506,1.12
33.8330,-0.3921,0.1243,0.8900,0.98
33.9330,-0.2630,0.0303,0.9508,0.99
34.0330,-0.3059,0.0032,0.9938,1.04
34.1340,-0.3538,0.0405,0.8463,0.92
34.2340,-0.3221,-0.0120,0.8553,0.91
34.3340,-0.3821,-0.1113,0.9430,1.02
34.4360,-0.4681,-0.0686,0.9361,1.05
34.5360,-0.4275,-0.0808,0.9872,1.08
34.6360,-0.3389,-0.1819,0.9520,1.03
34.7360,-0.4056,-0.1445,0.9337,1.03
34.8380,-0.3946,-0.1819,0.9698,1.06
34.9380,-0.4090,-0.1936,0.8775,0.99
35.0380,-0.3931,-0.2027,0.9034,1.01
35.1380,-0.4537,-0.1870,0.9000,1.03
35.2390,-0.3714,-0.2090,0.8773,0.98
35.3390,-0.4200,-0.1975,0.9002,1.01
35.4390,-0.4178,-0.1953,0.9139,1.02
35.5390,-0.4143,-0.2144,0.9081,1.02
35.6390,-0.4397,-0.1780,0.9071,1.02
35.7400,-0.3706,-0.2315,0.8914,0.99
35.8400,-0.4332,-0.1970,0.9188,1.03
35.9400,-0.4151,-0.1961,0.8956,1.01
36.0410,-0.4070,-0.2224,0.8890,1.00
36.1410,-0.4056,-0.2202,0.9156,1.03
36.2410,-0.4205,-0.2146,0.9220,1.04
36.3410,-0.4283,-0.2139,0.9010,1.02
36.4420,-0.4117,-0.2149,0.9286,1.04
36.5420,-0.4185,-0.2078,0.9044,1.02
36.6420,-0.4268,-0.2007,0.9049,1.02
36.7430,-0.4693,-0.1799,0.9444,1.07
36.8430,-0.4380,-0.1580,0.9388,1.05
36.9430,-0.3316,-0.1865,0.8946,0.97
37.0430,-0.2239,-0.1787,0.8941,0.94
37.1430,-0.4327,-0.0957,1.0983,1.18
37.2440,-0.2881,-0.1524,0.8338,0.90
37.3440,-0.2224,-0.1846,0.9510,0.99
37.4440,-0.1738,-0.1301,1.0409,1.06
37.5440,-0.1448,-0.1514,0.9898,1.01
37.6450,-0.1582,-0.2068,0.9942,1.03
37.7450,-0.2434,-0.1531,0.9525,0.99
37.8450,-0.1819,-0.1809,0.9654,1.00
37.9450,-0.2212,-0.1770,1.0189,1.06
38.0450,-0.2312,-0.1763,0.9732,1.02
38.1460,-0.2105,-0.1843,0.9708,1.01
38.2460,-0.2002,-0.1716,0.9872,1.02
38.3460,-0.1778,-0.1988,0.9947,1.03
38.4460,-0.2454,-0.1631,0.9947,1.04
38.5470,-0.2083,-0.1692,0.9759,1.01
38.6480,-0.1668,-0.1973,0.9522,0.99
38.7480,-0.2149,-0.1741,0.9598,1.00
38.8490,-0.2129,-0.1504,0.9901,1.02
38.9490,-0.2149,-0.1631,0.9703,1.01
39.0490,-0.2434,-0.1494,0.9772,1.02
39.1490,-0.2508,-0.1209,0.9762,1.02
39.2500,-0.1983,-0.1570,0.9439,0.98
39.3500,-0.2395,-0.1231,1.0023,1.04
39.4500,-0.2112,-0.1187,0.9930,1.02
39.5510,-0.1760,-0.1404,0.9569,0.98
39.6500,-0.2239,-0.1316,1.0006,1.03
39.7510,-0.2625,-0.0996,0.9796,1.02
39.8510,-0.1736,-0.1426,0.9786,1.00
39.9510,-0.1135,-0.1917,0.9730,1.00
40.0520,-0.2276,-0.1311,0.9818,1.02
40.1520,-0.2219,-0.1340,0.9640,1.00
40.2530,-0.2200,-0.1926,0.9823,1.02
40.3530,-0.3680,-0.1025,1.0084,1.08
40.4530,-0.2871,-0.1575,0.9896,1.04
40.5530,-0.2505,-0.1636,0.9576,1.00
40.6530,-0.2957,-0.1025,0.9925,1.04
40.7540,-0.2808,-0.0999,0.9769,1.02
40.8540,-0.2820,-0.0684,0.9955,1.04
40.9540,-0.2718,-0.0232,0.9742,1.01
41.0540,-0.2647,-0.0046,0.9691,1.00
41.1550,-0.2871,0.0457,0.9586,1.00
41.2550,-0.2215,0.0308,0.9789,1.00
41.3550,-0.1778,0.0356,0.9815,1.00
41.4550,-0.2520,0.1223,0.9457,0.99
41.5570,-0.1687,0.0552,1.0043,1.02
41.6570,-0.0757,0.0508,0.9073,0.91
41.7570,-0.1572,0.0701,1.0248,1.04
41.8590,-0.1885,0.0681,0.9041,0.93
41.9580,-0.1582,0.0398,1.0702,1.08
42.0590,-0.1392,0.0251,1.1149,1.12
42.1580,-0.1890,0.0195,0.8180,0.84
42.2580,-0.1651,-0.2207,0.8768,0.92
42.3590,-0.3284,-0.1741,0.9444,1.01
42.4600,-0.4854,-0.1052,1.1312,1.24
