x,y,z
-0.568634,-0.777451,-0.040131
-0.572769,-0.721786,-0.006775
-0.611816,-0.794037,0.084274
-0.742661,-1.134613,-0.056931
-1.230026,-2.015717,0.152466
-0.103668,-0.410065,0.166397
-0.372055,-0.603271,0.211899
-0.377686,-1.056168,0.018204
-0.439575,-0.873398,-0.072205
-0.545135,-0.80629,-0.057404
-0.488144,-0.606537,-0.105072
-0.420105,-0.608139,-0.021194
-0.424957,-0.818771,-0.137726
-0.445633,-0.919937,-0.062881
-0.488373,-0.768433,0.013809
-0.524918,-0.839371,-0.053329
-0.545837,-0.785843,-0.030624
-0.611984,-0.905594,-0.071136
-0.611282,-0.908203,-0.066528
-0.605988,-0.84169,0.09726
-0.545761,-0.787506,-0.09671
-0.603714,-0.842056,-0.085007
-0.616821,-0.774902,-0.144379
-0.606934,-0.794571,0.002457
-0.563705,-0.842545,-0.051758
-0.592896,-0.773117,-0.095169
-0.586472,-0.814835,-0.101151
-0.598785,-0.829834,-0.11528
-0.532684,-0.818359,-0.084976
-0.533279,-0.838821,-0.086304
-0.592514,-0.809128,-0.101654
-0.565643,-0.799286,-0.063019
-0.542633,-0.773529,-0.111374
-0.627075,-0.866379,-0.107361
-0.582993,-0.830505,-0.073593
-0.581467,-0.80127,-0.064026
-0.557175,-0.814133,-0.019684
-0.503204,-0.836914,-0.032181
-0.579041,-0.872665,-0.031448
-0.564331,-0.813492,-0.072327
-0.543884,-0.781342,-0.077621
-0.538956,-0.845917,-0.089386
-0.630646,-0.852814,-0.042252
-0.556519,-0.894165,-0.006531
-0.510696,-0.787552,-0.035141
-0.584915,-0.760056,-0.051865
-0.561157,-0.804001,-0.080154
-0.520691,-0.824554,-0.115295
-0.576202,-0.813766,-0.182404
-0.586594,-0.80574,-0.163498
-0.664001,-0.780289,-0.118149
-0.503632,-0.81134,-0.143433
-0.485367,-0.773071,-0.195511
-0.601959,-0.837402,-0.123108
-0.531082,-0.808212,-0.213669
-0.45282,-0.774216,-0.163574
-0.529785,-0.788681,-0.132751
-0.503143,-0.923584,-0.117279
-0.503983,-0.844254,-0.048828
-0.485199,-0.859436,-0.057999
-0.573761,-0.96109,-0.063644
-0.518143,-0.883453,-0.04686
-0.434753,-0.790527,-0.146774
-0.528336,-0.86058,-0.066101
-0.541199,-0.900742,-0.023026
-0.501755,-0.853622,-0.064804
-0.583969,-0.800018,-0.244995
-0.515747,-0.884476,-0.037811
-0.477051,-0.866699,-0.125061
-0.538986,-0.840073,-0.048859
-0.48671,-0.838928,-0.041229
-0.523651,-0.844574,-0.13916
-0.462143,-0.703003,-0.059052
-0.54924,-0.841797,-0.045364
-0.644684,-0.825775,-0.486877
-0.647781,-0.770538,-0.138672
-0.593048,-0.737778,-0.092133
-0.602768,-0.727692,-0.231613
-0.527237,-0.75441,-0.250366
-0.513596,-0.744537,-0.213791
-0.361465,-0.618027,-0.154617
-0.32196,-0.556885,-0.273117
-0.66481,-1.324295,-0.319336
-0.679047,-1.006805,0.079071
-0.447327,-0.718857,-0.074692
-0.616791,-0.942856,-0.161407
-0.623734,-0.87291,-0.239532
-0.513474,-0.772598,-0.0233
-0.5159,-0.788254,-0.054306
-0.46582,-0.865143,0.007172
-0.472702,-0.923035,-0.060135
-0.468918,-0.815567,-0.078049
-0.485687,-0.853912,-0.084717
-0.450684,-0.859665,-0.030029
-0.429138,-0.839417,-0.075623
-0.488251,-0.895935,-0.107391
-0.478836,-0.870621,-0.10466
-0.51268,-0.869919,-0.090897
-0.475586,-0.87207,-0.078522
-0.504776,-0.85553,-0.085922
-0.516281,-0.830292,-0.090881
-0.480942,-0.859344,-0.047913
-0.415619,-0.835068,-0.062927
-0.49144,-0.97905,-0.280411
-0.491928,-0.876038,-0.157745
-0.454163,-0.834213,-0.254059
-0.437073,-0.857895,-0.228668
-0.492172,-0.862183,-0.198044
-0.488617,-0.867493,-0.121109
-0.440094,-0.857086,-0.035858
-0.496216,-0.946152,-0.069031
-0.496689,-0.85788,-0.064621
-0.506638,-0.829895,-0.063309
-0.507858,-0.796219,-0.041183
-0.542465,-1.036713,-0.059479
-0.42485,-0.881882,-0.276703
-0.417221,-1.051987,-0.358322
-0.585922,-0.872803,-0.211792
-0.458664,-0.845139,-0.145905
-0.543152,-0.853424,-0.172089
-0.55777,-0.924484,-0.148788
-0.332947,-0.740417,-0.022537
-0.522278,-1.056366,-0.030426
-0.436462,-0.847168,-0.03418
-0.484756,-0.890015,-0.03009
-0.476669,-0.793106,-0.03418
-0.51651,-0.886932,-0.003159
-0.455551,-0.942505,-0.08252
-0.448074,-1.071762,-0.501648
-0.664948,-0.836533,-0.287979
-0.58902,-0.848328,-0.067917
-0.56282,-0.669037,0.011673
-0.622681,-0.781372,0.016632
-0.660095,-0.744888,-0.0271
-0.636749,-0.717575,-0.054489
-0.664505,-0.824158,-0.068024
-0.623428,-0.802811,-0.077988
-0.593094,-0.825485,-0.066055
-0.562698,-0.784729,-0.020645
-0.56044,-0.652252,0.079193
-0.72702,-0.951706,-0.082977
-0.41925,-0.862747,-0.080078
-0.590591,-0.960739,-0.141144
-0.848938,-1.340408,0.001022
-0.743347,-1.355255,-0.061005
-0.153091,-0.433685,0.164139
-0.247681,-0.793793,-0.080032
-0.419449,-0.997101,-0.085876
-0.342072,-0.913223,0.027161
-0.398376,-0.859253,-0.138596
-0.390823,-0.766174,0.026749
-0.35141,-0.728561,-0.065613
-0.334,-0.710938,0.033173
-0.405228,-0.93454,0.071548
-0.442841,-1.057632,-0.084518
-0.383621,-0.99054,-0.049927
-0.583725,-0.854874,-0.224152
-0.392624,-0.780624,-0.046539
-0.473724,-0.887894,-0.156418
-0.424454,-0.833801,0.005112
-0.402786,-0.871002,-0.062332
-0.423752,-0.850952,0.007538
-0.409485,-0.821091,-0.014755
-0.427963,-0.863403,-0.10321
-0.535873,-0.914505,-0.036926
-0.50174,-0.85231,0.020844
-0.485397,-0.85965,0.023087
-0.484055,-0.890396,-0.048447
